location,landing,boat,trip,anglers,species,count,released,date,source
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,41 Anglers,Sand Bass,1,False,2025-04-01,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,41 Anglers,Sculpin,7,False,2025-04-01,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,41 Anglers,Rockfish,101,False,2025-04-01,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,41 Anglers,Red Rockfish,50,False,2025-04-01,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,45 Anglers,Halibut,7,False,2025-04-02,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,45 Anglers,Halibut,5,True,2025-04-02,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,16 Anglers,Rockfish,71,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,14 Anglers,Sculpin,7,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day PM,14 Anglers,Rockfish,55,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,32 Anglers,Sand Bass,3,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,32 Anglers,Sculpin,17,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,32 Anglers,Whitefish,10,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",H&M Landing Fish Counts,Premier,1/2 Day AM,32 Anglers,Rockfish,70,False,2025-04-03,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,9 Anglers,Whitefish,10,False,2025-04-03,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,9 Anglers,Rockfish,70,False,2025-04-03,San Diego Fish Reports
"Oceanside, CA",Oceanside Sea Center Fish Counts,Southern Cal,1/2 Day AM,9 Anglers,Sanddab,20,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,12 Anglers,Barred Sand Bass,3,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,12 Anglers,Sculpin,1,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,12 Anglers,Whitefish,51,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Point Loma Sportfishing Fish Counts,Point Loma,1/2 Day AM,12 Anglers,Rockfish,35,False,2025-04-03,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,35 Anglers,Rockfish,87,False,2025-04-04,San Diego Fish Reports
"San Diego, CA",Fisherman's Landing Fish Counts,Dolphin,1/2 Day AM,35 Anglers,Vermilion Rockfish,47,False,2025-04-04,San Diego Fish Reports
